CODCLAVECIC,TT,MontoPD,ScoreApplicantVendida,TieneGarantia,MontoGarantiaBCP,NumSegmentoOrtogonal,FlgComportamientoPersona,MontoSolicitado,ProductoMic,TipoCreditoMic,TipoActivo,CampanaMic,RatioEndeudamiento,CantidadPlazo,Moneda,DeltaEntidades,PeriodoGracia,MontoTasaEspecial,NumMesesAntiguedad,V_CodLocalidad,RatioEndeudamientoU6MU12M,FlgTenenciaPasivo,MontoTipoCambio,MontoGarantiaComercial,MontoGarantiaAfectacion,NumPDVendida,ScoreApplicant,CAMPANIA_PYME,TEA_PIZARRA,TEA_10DD,MESAPERTURA,canal_venta,FECHA,Tasa_dscto_tea,CODCLAVECIC,RMIN,Target IRR - Tmin,TEA,Target IRR - TEA,IRR,producto,NPV,Net_Profit,ROE,ECAP,ROA,Avg_Balance,Spread_Neto,Margen_Neto,RemEc,RemCap,TT,Costo_t_0,Costo_lifetime,SALDO,IF,EF,EL,GEB,IxS,GASTOS,TAXES,PD Temp 12,LGD Temp 12,PD_TTC,LGD_TTC,CAP
215646835,0.077684005,0.07648,318,SIN,0.0,11,1,100000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.798017477,13,SOLES,0 o menos,0,0.175,64,1700,0.817878463,1,1.0,0.0,0.0,0.07648,318,REACTIVO,0.175,0.175,202311,TRADICIONAL,2/11/2023,0.17,215646835,0.3714764758761906,0.18999999999999972,0.3543119934111607,0.16999999999999882,0.17000000003383953,1,-422.2710558843246,3829.9183210062956,0.1595163399344342,24009.567437295147,0.08375267080790193,45728.909705945145,0.15776332234713142,7815.540116065382,1959.6991908835687,0.006278584235227314,0.07812815870753798,-3013.0021074,-877.0199214068791,594475.8261772869,15075.501751043754,-3807.694650571653,-4097.189467599331,1959.6991908835687,644.9224831926135,-3890.0220288068795,-1736.1390970519103,0.08280422468098926,0.69267,0.188861689,0.70278,0.5154853198674688
215646678,0.081934595,0.034267537,367,CON,600000.0,1,1,400000.0,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.935569589,72,SOLES,0 o menos,0,0.135,213,1312,0.601122162,1,1.0,600000.0,600000.0,0.034267537,367,MULTIPROPOSITO,0.135,0.135,202311,TRADICIONAL,2/11/2023,0.24,215646678,0.14157865459651342,0.18999999999999972,0.14863897128979575,0.24000000000000066,0.23999999987924547,4,3201.533674705155,3683.5615647953455,0.20832219626740994,17682.040756074748,0.022641890330489814,162687.8988913316,0.04738430064711166,46253.113876282565,7993.309128317117,0.006278584235227314,0.08111742109162678,-5245.7504180999995,-17651.21246058189,11713528.720175875,135295.34109591594,-77232.54027736287,-18833.49570370835,7993.309128317117,7023.808761437828,-22896.96287868189,-9248.090737145749,0.029294375161944882,0.3369830513272633,0.049933154,0.2702145327836941,0.10748876664485607
215646670,0.077777399,0.07213,322,SIN,0.0,2,0,200000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.507289858,12,SOLES,0 o menos,0,0.15,80,1642,0.478535247,1,1.0,0.0,0.0,0.07213,322,REACTIVO,0.15,0.15,202311,TRADICIONAL,2/11/2023,0.15,215646670,0.2863595572329527,0.18999999999999972,0.26007629419615563,0.15000000000000124,0.14999999999999525,1,-1281.1279598317487,5532.196178448241,0.14070308693827036,39318.228894831154,0.06003791625593229,92145.03972565186,0.09884204151120633,9107.80384161464,2962.35374515375,0.006278584235227314,0.07823720386497479,-3013.0021074,-1210.068701427621,1105740.4767078224,21323.152354979462,-7082.492165521371,-5838.262534798194,2962.35374515375,705.4061869547396,-4223.070808827621,-2314.8905994925253,0.07901546692794321,0.55877,0.163510966,0.5688799999999999,0.4194934110696033
215633853,0.083583072,0.017258331,408,CON,218040.0,4,0,215000.0,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,1.0,97,SOLES,Incrementa,0,0.2,56,1310,1.0,1,1.0,218040.0,218040.0,0.017258331,408,AFI,0.2,0.2,202311,TRADICIONAL,2/11/2023,0.26,215633853,0.14777814023935187,0.18999999999999972,0.15711217481340256,0.2599999999999987,0.2599999999999263,2,3134.1950825411477,2246.0962077647623,0.21904774485247305,10253.91158113721,0.022582009102483737,99463.96698235853,0.06206699211137581,49901.88647031988,6244.864617466055,0.006278584235227314,0.08218489641279847,-5245.7504180999995,-25147.88812202851,9648004.797288777,117735.21383648633,-64042.16120606464,-9865.635516177543,6244.864617466055,6074.469356075649,-30393.63854012851,-7597.168201558945,0.010229333165308179,0.4684639859085492,0.008727203,0.39309728567574465,0.10255869573450112
215646832,0.078339846,0.08653,310,SIN,0.0,3,0,180000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.527374198,25,SOLES,Incrementa,0,0.26,59,622,0.395116355,1,1.0,0.0,0.0,0.08653,310,REACTIVO,0.26,0.26,202311,TRADICIONAL,2/11/2023,0.14,215646832,0.3085643095501336,0.18999999999999972,0.27359244414865524,0.1399999999999988,0.13999999999971346,1,-2530.613089002465,4105.3213929956755,0.12975938327718023,31637.95395224914,0.0587357222282299,69894.79719077249,0.08713898137340352,12688.669646884458,4966.038972985981,0.006278584235227314,0.07874081251951015,-3013.0021074,-2510.142112365002,1747369.929769312,35214.898417859615,-11294.469675141258,-12349.560211410966,4966.038972985981,1117.8011155770582,-5523.144219765002,-3578.811498031102,0.07302728613804078,0.69267,0.144526703,0.70278,0.4437220012483897
215646674,0.078311878,0.07781,317,SIN,0.0,5,0,150000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.693930406,25,SOLES,0 o menos,0,0.15,105,1760,0.560657123,1,1.0,0.0,0.0,0.07781,317,REACTIVO,0.15,0.15,202311,TRADICIONAL,2/11/2023,0.16,215646674,0.27713489676884295,0.18999999999999972,0.26163932733258743,0.15999999999999948,0.1600000000001156,1,-954.9560425656528,2950.125907581837,0.14827289738288635,19896.595801751297,0.05041034724958546,58522.2294338807,0.08584685634108141,10466.561297854507,3123.061318389141,0.006278584235227314,0.07873888778396765,-3013.0021074,-1858.7543516869073,1463055.7358470175,28350.37921122453,-9439.604539553757,-9403.836122618695,3123.061318389141,959.6227488024189,-4871.756459086908,-2571.7705163612372,0.06605500707716132,0.69267,0.094923431,0.70278,0.3338744134550452
215646667,0.078319164,0.04649,349,SIN,0.0,4,1,250000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.596062894,25,SOLES,0 o menos,0,0.145,124,319,0.466366123,1,1.0,0.0,0.0,0.04649,349,REACTIVO,0.145,0.145,202311,TRADICIONAL,2/11/2023,0.18,215646667,0.21976740094500724,0.18999999999999972,0.2153182146891386,0.17999999999999838,0.180000000007841,1,-482.43781373335514,5039.630604106094,0.1661011368448617,30340.73516795436,0.05084331245692344,99120.81570955626,0.07644078425723952,15785.151852199557,4762.421537768128,0.006278584235227314,0.07873128357909787,-3013.0021074,-2642.045856722222,2478020.3927389067,40359.80627797746,-15883.627886019342,-10235.309781705184,4762.421537768128,1544.2832419466163,-5655.047964122223,-4393.29500062441,0.0414113613932789,0.69267,0.082109921,0.70278,0.30254782499079586
215633951,0.084599592,0.006273792,467,CON,390715.62,14,1,990000.0,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,1.0,121,SOLES,Incrementa,0,0.127,138,1318,1.0,1,1.0,390715.62,390715.62,0.006273792,467,AFI,0.127,0.127,202311,TRADICIONAL,2/11/2023,0.26,215633951,0.11462693749210873,0.18999999999999972,0.12545514553442372,0.2599999999999987,0.26000000000409207,2,19217.99796050423,12592.621292155392,0.2255772432000173,55823.98788777478,0.0273305599266623,460752.4077789081,0.03827443214146582,177819.95405263733,42409.968846264106,0.006278584235227314,0.082894431340931,-5245.7504180999995,-34876.94123366184,55751041.34124788,551195.3007592001,-372037.05812252464,-28288.6269034467,42409.968846264106,26950.338319408387,-40122.69165176184,-53131.6332179062,0.0028708599425368076,0.554359054048777,0.006228264,0.4733884555224841,0.12089217850924883
215646662,0.079565303,0.01837,404,SIN,0.0,5,1,200000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.661036544,36,SOLES,0 o menos,0,0.154,207,1308,0.579452874,1,1.0,0.0,0.0,0.01837,404,REACTIVO,0.154,0.154,202311,TRADICIONAL,2/11/2023,0.26,215646662,0.1704133429592145,0.18999999999999972,0.1909113901946604,0.2599999999999987,0.259999999924833,1,2345.6639046793935,3654.278250020674,0.2391811949169223,15278.284111298795,0.049857836566330554,73293.95941917866,0.08172646936764473,17970.1695879147,3453.3357754508856,0.006278584235227314,0.07980308368930489,-3013.0021074,-2860.3830431116544,2638582.5390904318,38583.06334049894,-17037.458705630506,-5264.194535169277,3453.3357754508856,1688.7594882155388,-5873.3851505116545,-4587.285462791909,0.018177765897822936,0.69267,0.04318344,0.70278,0.20721531090075293
215646675,0.078261515,0.06316,330,SIN,0.0,1,1,100000.0,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.486520142,24,SOLES,0 o menos,0,0.215,440,1759,0.509026405,1,1.0,0.0,0.0,0.06316,330,REACTIVO,0.215,0.215,202311,TRADICIONAL,2/11/2023,0.17,215646675,0.30967169859427157,0.18999999999999972,0.2945426857915183,0.16999999999999882,0.17000000022488937,1,-605.0207127123504,3097.850624973944,0.15955255203242885,19415.86383616296,0.07712043109708583,40169.00036611703,0.13080605375848953,10508.696842630181,2925.6992782812686,0.006278584235227314,0.0786620608774713,-3013.0021074,-1633.165290181141,964056.0087868087,20805.985117985805,-6194.858538162409,-5145.079922169924,2925.6992782812686,1042.650184976708,-4646.167397581141,-2592.5274733824417,0.054722600371730566,0.69267,0.162344582,0.70278,0.4761514743282106
