CODCLAVECIC,TT,MontoPD,ScoreApplicantVendida,TieneGarantia,MontoGarantiaBCP,NumSegmentoOrtogonal,FlgComportamientoPersona,MontoSolicitado,ProductoMic,TipoCreditoMic,TipoActivo,CampanaMic,RatioEndeudamiento,CantidadPlazo,Moneda,DeltaEntidades,PeriodoGracia,MontoTasaEspecial,NumMesesAntiguedad,V_CodLocalidad,RatioEndeudamientoU6MU12M,FlgTenenciaPasivo,MontoTipoCambio,MontoGarantiaComercial,MontoGarantiaAfectacion,NumPDVendida,ScoreApplicant,CAMPANIA_PYME,TEA_PIZARRA,TEA_10DD,MESAPERTURA,canal_venta,FECHA
215646835,0.077684005,0.07648,318,SIN,0,11,1,100000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.798017477,13,SOLES,0 o menos,0,0.175,64,1700,0.817878463,1,1,0,0,0.07648,318,REACTIVO,0.175,0.175,202311,TRADICIONAL,2/11/2023
215646678,0.081934595,0.034267537,367,CON,600000,1,1,400000,NEGOCIO COMERCIAL,ACFI,Multiproposito,MULTIPROPOSITO PYME,0.935569589,72,SOLES,0 o menos,0,0.135,213,1312,0.601122162,1,1,600000,600000,0.034267537,367,MULTIPROPOSITO,0.135,0.135,202311,TRADICIONAL,2/11/2023
215646670,0.077777399,0.07213,322,SIN,0,2,0,200000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.507289858,12,SOLES,0 o menos,0,0.15,80,1642,0.478535247,1,1,0,0,0.07213,322,REACTIVO,0.15,0.15,202311,TRADICIONAL,2/11/2023
215633853,0.083583072,0.017258331,408,CON,218040,4,0,215000,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,1,97,SOLES,Incrementa,0,0.2,56,1310,1,1,1,218040,218040,0.017258331,408,AFI,0.2,0.2,202311,TRADICIONAL,2/11/2023
215646832,0.078339846,0.08653,310,SIN,0,3,0,180000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.527374198,25,SOLES,Incrementa,0,0.26,59,622,0.395116355,1,1,0,0,0.08653,310,REACTIVO,0.26,0.26,202311,TRADICIONAL,2/11/2023
215646674,0.078311878,0.07781,317,SIN,0,5,0,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.693930406,25,SOLES,0 o menos,0,0.15,105,1760,0.560657123,1,1,0,0,0.07781,317,REACTIVO,0.15,0.15,202311,TRADICIONAL,2/11/2023
215646667,0.078319164,0.04649,349,SIN,0,4,1,250000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.596062894,25,SOLES,0 o menos,0,0.145,124,319,0.466366123,1,1,0,0,0.04649,349,REACTIVO,0.145,0.145,202311,TRADICIONAL,2/11/2023
215633951,0.084599592,0.006273792,467,CON,390715.62,14,1,990000,NEGOCIO COMERCIAL,ACFI,Inmueble,ACTIVO FIJO INMUEBLES,1,121,SOLES,Incrementa,0,0.127,138,1318,1,1,1,390715.62,390715.62,0.006273792,467,AFI,0.127,0.127,202311,TRADICIONAL,2/11/2023
215646662,0.079565303,0.01837,404,SIN,0,5,1,200000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.661036544,36,SOLES,0 o menos,0,0.154,207,1308,0.579452874,1,1,0,0,0.01837,404,REACTIVO,0.154,0.154,202311,TRADICIONAL,2/11/2023
215646675,0.078261515,0.06316,330,SIN,0,1,1,100000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.486520142,24,SOLES,0 o menos,0,0.215,440,1759,0.509026405,1,1,0,0,0.06316,330,REACTIVO,0.215,0.215,202311,TRADICIONAL,2/11/2023
