product_code_final,Moneda,CantidadPlazo,t,prepagoRDM
1,SOLES,6,1,0
1,SOLES,6,2,1.44E-63
1,SOLES,6,3,1.68E-63
1,SOLES,6,4,1.90E-63
1,SOLES,6,5,2.09E-63
1,SOLES,6,6,2.26E-63
1,SOLES,6,7,2.40E-63
1,SOLES,6,8,0
1,SOLES,6,9,0
1,SOLES,6,10,0
1,SOLES,6,11,0
1,SOLES,6,12,0
1,SOLES,6,13,0
1,SOLES,6,14,0
1,SOLES,6,15,0
1,SOLES,6,16,0
1,SOLES,6,17,0
1,SOLES,6,18,0
1,SOLES,6,19,0
1,SOLES,6,20,0
1,SOLES,6,21,0
1,SOLES,6,22,0
1,SOLES,6,23,0
1,SOLES,6,24,0
1,SOLES,6,25,0
1,SOLES,6,26,0
1,SOLES,6,27,0
1,SOLES,6,28,0
1,SOLES,6,29,0
1,SOLES,6,30,0
1,SOLES,6,31,0
1,SOLES,6,32,0
1,SOLES,6,33,0
1,SOLES,6,34,0
1,SOLES,6,35,0
1,SOLES,6,36,0
1,SOLES,6,37,0
1,SOLES,6,38,0
1,SOLES,6,39,0
1,SOLES,6,40,0
1,SOLES,6,41,0
1,SOLES,6,42,0
1,SOLES,6,43,0
1,SOLES,6,44,0
1,SOLES,6,45,0
1,SOLES,6,46,0
1,SOLES,6,47,0
1,SOLES,6,48,0
1,SOLES,6,49,0
1,SOLES,6,50,0
1,SOLES,6,51,0
1,SOLES,6,52,0
1,SOLES,6,53,0
1,SOLES,6,54,0
1,SOLES,6,55,0
1,SOLES,6,56,0
1,SOLES,6,57,0
1,SOLES,6,58,0
1,SOLES,6,59,0
1,SOLES,6,60,0
1,SOLES,6,61,0
1,SOLES,6,62,0
1,SOLES,6,63,0
1,SOLES,6,64,0
1,SOLES,6,65,0
1,SOLES,6,66,0
1,SOLES,6,67,0
1,SOLES,6,68,0
1,SOLES,6,69,0
1,SOLES,6,70,0
1,SOLES,6,71,0
1,SOLES,6,72,0
1,SOLES,6,73,0
1,SOLES,6,74,0
1,SOLES,6,75,0
1,SOLES,6,76,0
1,SOLES,6,77,0
1,SOLES,6,78,0
1,SOLES,6,79,0
1,SOLES,6,80,0
1,SOLES,6,81,0
1,SOLES,6,82,0
1,SOLES,6,83,0
1,SOLES,6,84,0
1,SOLES,6,85,0
1,SOLES,6,86,0
1,SOLES,6,87,0
1,SOLES,6,88,0
1,SOLES,6,89,0
1,SOLES,6,90,0
1,SOLES,6,91,0
1,SOLES,6,92,0
1,SOLES,6,93,0
1,SOLES,6,94,0
1,SOLES,6,95,0
1,SOLES,6,96,0
1,SOLES,6,97,0
1,SOLES,6,98,0
1,SOLES,6,99,0
1,SOLES,6,100,0
